en,cs,description,file,hash
Notes,Poznámky,,site/modules/Ichiban/Ichiban.module.php,f4c6f851b00d5518bf888815de279aba
Identity,Identita,,site/modules/Ichiban/Ichiban.module.php,c9c5c65fb4af9cf90eb99b3b84424189
Used for Organization/Person JSON-LD and sameAs profile links. Leave fields empty if the identity node should stay minimal.,"Používá se pro odkazy na profil organizace/osoba JSON-LD a sameAs. Ponechte pole prázdná, pokud by měl identitní uzel zůstat minimální.",,site/modules/Ichiban/Ichiban.module.php,cde2ad3993452d48164bac03fd7ff2ea
Defaults,Výchozí,,site/modules/Ichiban/Ichiban.module.php,0aabf727ab0a83c5f5d078e8b18445e0
"JSON defaults are resolved before page-level values. Use field:title, field:summary|truncate:160, custom text, or inherit.","Výchozí hodnoty JSON jsou vyřešeny před hodnotami na úrovni stránky. Použijte pole:název, pole:souhrn|zkrátit:160, vlastní text nebo zdědit.",,site/modules/Ichiban/Ichiban.module.php,33bdc3ae43a21121f7dce26d5197dd44
Global defaults JSON,Globální výchozí nastavení JSON,,site/modules/Ichiban/Ichiban.module.php,53e3b5312941b09573dc3f9186159072
Template defaults JSON,Výchozí nastavení šablony JSON,,site/modules/Ichiban/Ichiban.module.php,5115e3fe37e3ad25f334f010f8c5b38e
"Use typed source values like field:title, field:summary|truncate:160, custom text, or inherit.","Použijte zadané zdrojové hodnoty jako field:title, field:summary|truncate:160, custom text, nebo inherit.",,site/modules/Ichiban/Ichiban.module.php,82ccb8f28eb5731a03cf696ad3f72648
Rendering,Vykreslování,,site/modules/Ichiban/Ichiban.module.php,a6e8f9aed2ac6481dc25a18a33342d03
By default Ichiban only renders tags when your template outputs $page->seo. Automatic injection is opt-in.,"Ve výchozím nastavení Ichiban vykreslí značky pouze tehdy, když vaše šablona vydá $page->seo. Automatické vstřikování je volitelná.",,site/modules/Ichiban/Ichiban.module.php,fb1b9b3b0133275b95ccaf96bd704d4a
Automatically inject SEO tags into page <head>,Automaticky vložit značky SEO na stránku <head>,,site/modules/Ichiban/Ichiban.module.php,55e90fc94d051339268c8cea22d211ff
Enable only if your templates do not output $page->seo.,"Povolte, pouze pokud vaše šablony nevydávají $page->seo.",,site/modules/Ichiban/Ichiban.module.php,83d3719feac098415326b3ef32ef1fb2
Title Format,Formát titulku,,site/modules/Ichiban/Ichiban.module.php,0c21f0be6bc0d9e2fa13c59acfa65223
"Optionally format the rendered <title>. Use {meta_title} for the resolved page title, for example {meta_title} | {site_name}. Leave blank to render the title unchanged.","Volitelně naformátujte vykreslený soubor <title>. Pro vyřešený název stránky použijte například {meta_title} {meta_title} | {site_name}. Ponechte prázdné, chcete-li změnit název.",,site/modules/Ichiban/Ichiban.module.php,9d60b7ae07e266ce90621e229f337618
"Supported placeholders: {meta_title}, {site_name}, {entity_name}, {host}. Title length checks include this format.","Podporované zástupné symboly: {meta_title}, {site_name}, {entity_name}, {host}. Kontroly délky titulků zahrnují tento formát.",,site/modules/Ichiban/Ichiban.module.php,08debe1ddbe5e86837f27f89a8b4c15d
Render hreflang alternate links,Vykreslit alternativní odkazy hreflang,,site/modules/Ichiban/Ichiban.module.php,dd27ad837fa55751efc91ce4322806d2
Disable this when ProcessWire languages are used internally but the public site should not advertise language alternates.,"Zakažte toto, pokud se interně používají jazyky ProcessWire, ale veřejný web by neměl inzerovat alternativy jazyků.",,site/modules/Ichiban/Ichiban.module.php,a0f50a879725bc755d76fcc71dbebc9c
Render JSON-LD schema,Vykreslit schéma JSON-LD,,site/modules/Ichiban/Ichiban.module.php,093f286865020e6e4762d54b968f4e18
Disable this when templates or another module generate custom structured data.,"Vypněte toto, když šablony nebo jiný modul generují vlastní strukturovaná data.",,site/modules/Ichiban/Ichiban.module.php,4c61b25b55b63f2ab8fa34b40ae0d612
Webmaster Verification,Ověření webmastera,,site/modules/Ichiban/Ichiban.module.php,e16aace7feb4c4c815b9f9acbf072815
Verification tags and Meta Pixel are rendered on the home page only. Google Search Console verification is intentionally omitted here because current Google setup should use DNS TXT or CNAME verification.,"Ověřovací značky a Meta Pixel se vykreslují pouze na domovské stránce. Ověření Google Search Console je zde záměrně vynecháno, protože aktuální nastavení Google by mělo používat ověření DNS TXT nebo CNAME.",,site/modules/Ichiban/Ichiban.module.php,a9c50cdbf2ad228624b2017ab78c7438
"Microsoft Bing, Yahoo, and DuckDuckGo visibility often starts from Bing Webmaster Tools.","Viditelnost Microsoft Bing, Yahoo a DuckDuckGo často začíná z Bing Webmaster Tools.",,site/modules/Ichiban/Ichiban.module.php,fbe1774e9a77f9f92b4b96bf4c64585a
Yandex meta verification token.,Meta ověřovací token Yandex.,,site/modules/Ichiban/Ichiban.module.php,76f540135e80a474de70e3583a54dc45
China: renders baidu-site-verification meta tag.,Čína: vykresluje metaznačku baidu-site-verification.,,site/modules/Ichiban/Ichiban.module.php,a95ed1f87dde1518d8b49008ebb77dbb
China: renders sogou_site_verification meta tag.,Čína: vykreslí metaznačku sogou_site_verification.,,site/modules/Ichiban/Ichiban.module.php,9d4aa8d584f94eac913b6201afac6730
China: renders 360-site-verification meta tag.,Čína: vykresluje metaznačku pro ověření 360 stránek.,,site/modules/Ichiban/Ichiban.module.php,d0a0430a9f737934f21aa4303c7edab1
Pinterest domain verification token.,Ověřovací token domény Pinterest.,,site/modules/Ichiban/Ichiban.module.php,eacbd24ca94cad724c6f391d472638ba
Meta domain verification token.,Ověřovací token meta domény.,,site/modules/Ichiban/Ichiban.module.php,db13ec584f9633e6751535d17824e79e
Numeric Pixel ID. Renders the standard PageView pixel on the home page.,Číselné ID pixelu. Vykreslí standardní pixel PageView na domovské stránce.,,site/modules/Ichiban/Ichiban.module.php,9219a1dab2e3eebf88becf2f14e80d01
Additional verification meta tags,Další ověřovací metaznačky,,site/modules/Ichiban/Ichiban.module.php,e7d88f3cf0b8b671959e10fe014e8fd2
One per line as meta-name=token. Use for regional tools that provide a meta verification tag.,"Jeden na řádek jako meta-name=token. Použijte pro regionální nástroje, které poskytují značku pro ověření metadat.",,site/modules/Ichiban/Ichiban.module.php,76f0c578ce00ff37d7e990f91b0953d3
